[2023-08-03 18:39:30,704] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:39:30,704] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:39:33,137] INFO in util: child process calling self.run()
[2023-08-03 18:39:34,168] INFO in util: process shutting down
[2023-08-03 18:39:34,168] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:39:34,168] INFO in util: calling join() for process Process-1
[2023-08-03 18:39:34,262] INFO in util: process shutting down
[2023-08-03 18:39:34,262] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:39:34,262] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:39:38,097] INFO in util: child process calling self.run()
[2023-08-03 18:39:40,740] INFO in util: child process calling self.run()
[2023-08-03 18:42:04,069] INFO in util: process shutting down
[2023-08-03 18:42:04,106] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:42:04,106] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:42:06,845] INFO in util: child process calling self.run()
[2023-08-03 18:43:30,130] INFO in util: process shutting down
[2023-08-03 18:43:30,130] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:43:30,130] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:43:31,317] INFO in util: child process calling self.run()
[2023-08-03 18:44:03,086] INFO in util: process shutting down
[2023-08-03 18:44:03,086] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:44:03,086] INFO in util: calling join() for process Process-1
[2023-08-03 18:44:03,088] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:44:05,804] INFO in util: child process calling self.run()
[2023-08-03 18:44:23,283] INFO in util: process shutting down
[2023-08-03 18:44:23,283] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:44:23,283] INFO in util: calling join() for process Process-1
[2023-08-03 18:44:23,285] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:44:24,798] INFO in util: child process calling self.run()
[2023-08-03 18:44:29,249] INFO in util: process shutting down
[2023-08-03 18:44:29,249] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:44:29,249] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:44:31,198] INFO in util: child process calling self.run()
[2023-08-03 18:44:33,257] INFO in util: child process calling self.run()
[2023-08-03 18:45:14,740] INFO in util: process shutting down
